标题,代号,名称英文,城市,星级备注,双人间含早价,状态,备注
"南宁·龙光那莲","nanning-nalian","Longguang Nalian, Nanning","南宁","5钻",880,"启用","r1 Day1"
"崇左·那里酒店","chongzuo-nali","Nali Hotel, Chongzuo","崇左","5钻",1000,"启用","r1 Day2"
"下龙·沃森 THE WASON","halong-wason","THE WASON Halong","下龙","5钻",450,"启用","r1 Day3–4"
"吉婆岛·待补价","catba-tbd","Cat Ba (TBD)","吉婆岛","5钻",0,"启用","样例未标间夜价，请补"
"河内·华丽高级 Splendid Premium","hanoi-splendid","Splendid Premium Hotel","河内","5钻",0,"启用","样例未标间夜价，请补"
"沙坝·穹顶美憬阁","sapa-coupole","Hotel de la Coupole Sapa - MGallery","沙坝","5钻",0,"启用","样例未标间夜价，请补"
"建水·临安酒店","jianshui-linan","Lin'an Hotel, Jianshui","建水","5钻",480,"启用","r1 Day10"
"普者黑·兮院云上彝居","puzhehei-xiyuan","Xiyuan Yunshang, Puzhehei","普者黑","5钻",350,"启用","r1 Day11"
"弥勒·巨人雅阁","mile-juren","Juren Hotel, Mile","弥勒","5钻",400,"启用","r1 Day12"
"昆明·开臣酒店","kunming-kaichen","Kaichen Hotel, Kunming","昆明","5钻",400,"启用","r1 Day13"
