标题,代号,最大载客,日包价,适用段,状态,备注
"4座小车·国内（2人小团）","car4-cn",2,1600,"国内","启用","2人小团；约7座同段8折；人数≤2自动降档"
"4座小车·广西段（2人小团）","car4-gx",2,1100,"国内","启用","2人小团；约7座同段8折"
"4座小车·跨境（2人小团）","car4-border",2,950,"国内","启用","2人小团；约7座同段8折"
"4座小车·越南段（2人小团）","car4-vn",2,900,"越南","启用","2人小团；约7座同段8折"
"7座商务车·国内参考","van7-cn",6,2000,"国内","启用","云南段样例约 2000/天；日行可用金额覆盖"
"7座商务车·广西段参考","van7-gx",6,1400,"国内","启用","德天/崇左段样例 1400"
"7座商务车·跨境参考","van7-border",6,1200,"国内","启用","崇左→东兴样例 1200"
"7座商务车·越南段参考","van7-vn",6,1100,"越南","启用","越南段样例 1100/天"
"14座巴士·国内参考","bus14-cn",14,2800,"国内","启用","7座同段×1.4；人数>6 估算自动升级"
"14座巴士·广西段参考","bus14-gx",14,1960,"国内","启用","7座同段×1.4"
"14座巴士·跨境参考","bus14-border",14,1680,"国内","启用","7座同段×1.4"
"14座巴士·越南段参考","bus14-vn",14,1540,"越南","启用","7座同段×1.4"
