标题,线路,日序,日标题,费用类型,酒店代号,车型代号,导游代号,项目名称,间数,数量,金额覆盖,现付,分摊口径,成人适用,儿童适用,备注
r1 D1 酒店,r1,1,南宁,hotel,nanning-nalian,,,,1,,,,per_room_split,是,否,
r1 D1 接机,r1,1,南宁,other,,,,接机,,,100,,per_group_split,是,是,
r1 D2 酒店,r1,2,德天/明仕·崇左,hotel,chongzuo-nali,,,,1,,,,per_room_split,是,否,
r1 D2 车,r1,2,德天/明仕·崇左,vehicle,,van7-gx,,,,,,,per_vehicle_split,是,是,
r1 D2 德天门票,r1,2,德天/明仕·崇左,ticket,,,,德天瀑布门票,,,185,,per_person,是,是,
r1 D2 明仕,r1,2,德天/明仕·崇左,ticket,,,,明仕观光,,,100,,per_person,是,是,
r1 D3 酒店,r1,3,崇左→下龙,hotel,halong-wason,,,,1,,,,per_room_split,是,否,
r1 D3 车,r1,3,崇左→下龙,vehicle,,van7-border,,,,,,,per_vehicle_split,是,是,
r1 D3 导游,r1,3,崇左→下龙,guide,,,guide-vn,,,,,,per_group_split,是,是,
r1 D3 小费,r1,3,崇左→下龙,tip,,,,司机导游住宿小费,,,120,,per_person,是,是,
r1 D4 酒店,r1,4,下龙湾游轮,hotel,halong-wason,,,,1,,,,per_room_split,是,否,
r1 D4 车,r1,4,下龙湾游轮,vehicle,,van7-vn,,,,,,,per_vehicle_split,是,是,
r1 D4 导游,r1,4,下龙湾游轮,guide,,,guide-vn,,,,,,per_group_split,是,是,
r1 D4 体验包,r1,4,下龙湾游轮,other,,,,五星游轮+吉婆缆车等打包,,,969,,per_person,是,是,样例 969/人
r1 D4 餐,r1,4,下龙湾游轮,meal,,,,海鲜小火锅等,,,100,,per_person,是,是,
r1 D4 小费,r1,4,下龙湾游轮,tip,,,,司机导游住宿小费,,,120,,per_person,是,是,
r1 D5 车,r1,5,吉婆岛,vehicle,,van7-vn,,,,,,,per_vehicle_split,是,是,
r1 D5 导游,r1,5,吉婆岛,guide,,,guide-vn,,,,,,per_group_split,是,是,
r1 D5 小费,r1,5,吉婆岛,tip,,,,司机导游住宿小费,,,120,,per_person,是,是,
r1 D6 车,r1,6,吉婆→河内,vehicle,,van7-vn,,,,,,,per_vehicle_split,是,是,
r1 D6 导游,r1,6,吉婆→河内,guide,,,guide-vn,,,,,,per_group_split,是,是,
r1 D6 餐,r1,6,吉婆→河内,meal,,,,皇帝餐等,,,100,,per_person,是,是,
r1 D6 小费,r1,6,吉婆→河内,tip,,,,司机导游住宿小费,,,120,,per_person,是,是,
r1 D7 导游,r1,7,河内市区,guide,,,guide-vn,,,,,,per_group_split,是,是,
r1 D7 餐,r1,7,河内市区,meal,,,,莲花中餐,,,150,,per_person,是,是,
r1 D7 小费,r1,7,河内市区,tip,,,,司机导游住宿小费,,,120,,per_person,是,是,
r1 D8 车,r1,8,河内→沙坝,vehicle,,van7-vn,,,,,,,per_vehicle_split,是,是,
r1 D8 导游,r1,8,河内→沙坝,guide,,,guide-vn,,,,,,per_group_split,是,是,
r1 D8 小费,r1,8,河内→沙坝,tip,,,,司机导游住宿小费,,,120,,per_person,是,是,
r1 D9 车,r1,9,沙坝游览,vehicle,,van7-vn,,,,,,,per_vehicle_split,是,是,
r1 D9 导游,r1,9,沙坝游览,guide,,,guide-vn,,,,,,per_group_split,是,是,
r1 D9 小费,r1,9,沙坝游览,tip,,,,司机导游住宿小费,,,120,,per_person,是,是,
r1 D10 车越,r1,10,沙坝→建水,vehicle,,van7-vn,,,,,,,per_vehicle_split,是,是,出境前越南车
r1 D10 导游,r1,10,沙坝→建水,guide,,,guide-vn,,,,,,per_group_split,是,是,
r1 D10 小费,r1,10,沙坝→建水,tip,,,,司机导游住宿小费,,,120,,per_person,是,是,
r1 D10 车滇,r1,10,沙坝→建水,vehicle,,van7-cn,,,,,,,per_vehicle_split,是,是,云南接驳
r1 D10 酒店,r1,10,沙坝→建水,hotel,jianshui-linan,,,,1,,,,per_room_split,是,否,
r1 D11 票,r1,11,建水→普者黑,ticket,,,,建水小火车+普者黑柳叶舟,,,320,,per_person,是,是,
r1 D11 酒店,r1,11,建水→普者黑,hotel,puzhehei-xiyuan,,,,1,,,,per_room_split,是,否,
r1 D11 车,r1,11,建水→普者黑,vehicle,,van7-cn,,,,,,,per_vehicle_split,是,是,
r1 D12 票,r1,12,普者黑→弥勒,ticket,,,,东风韵+电瓶车+温泉,,,266,,per_person,是,是,
r1 D12 酒店,r1,12,普者黑→弥勒,hotel,mile-juren,,,,1,,,,per_room_split,是,否,
r1 D12 车,r1,12,普者黑→弥勒,vehicle,,van7-cn,,,,,,,per_vehicle_split,是,是,
r1 D13 酒店,r1,13,弥勒→昆明,hotel,kunming-kaichen,,,,1,,,,per_room_split,是,否,
r1 D13 车,r1,13,弥勒→昆明,vehicle,,van7-cn,,,,,,,per_vehicle_split,是,是,
r1 D14 车,r1,14,昆明送机,vehicle,,van7-cn,,,,,,,per_vehicle_split,是,是,
